"Azure Service","Workload Category"
"Azure SQL Database","Database"
"Azure Virtual Machines","Compute"
"Azure App Service","Web"
"Azure Storage Account","Storage"
"Azure Service Bus","Messaging"
"Azure Cosmos DB","Database"
"Azure Front Door","Web / API"
"Azure Application Gateway","Web / API"
"API Management","API"
"API Management","AI / Search"
"Azure VPN Gateway","Networking"
"Azure Virtual WAN","Networking"
"Microsoft Fabric","Analytics"
"Dynamics 365 (D365)","Business Apps"
"Azure AI Services","AI Platform"
"Azure Kubernetes Service (AKS)","Containers"
"Azure Functions","Serverless"
"Azure Key Vault","Security"
"Azure OpenAI","AI Platform"
